Date Downloaded,County,Demographic,Number with at least one dose,At Least One Dose (%),Completed Series (#),Completed Series (%),Number of adults with at least one dose,% adults w/at least one dose,Adults (18+) who completed the series,% adults completed series,Population,Adult (18+) Population
2021/11/20,Rock County,45-54,"13,999",67.0%,"13,262",63.5%,"13,999",67.0%,"13,262",63.5%,"20,879","20,879"
2021/11/20,Rock County,55-64,"17,333",75.1%,"16,592",71.9%,"17,333",75.1%,"16,592",71.9%,"23,065","23,065"
2021/11/20,Rock County,65+,"24,412",87.5%,"23,337",83.7%,"24,412",87.5%,"23,337",83.7%,"27,898","27,898"
2021/11/20,Rusk County,0-11,0,0.0%,0,0.0%,0,,0,,"1,853",0
2021/11/20,Rusk County,12-15,141,21.4%,132,20.0%,0,,0,,659,0
2021/11/20,Rusk County,16-17,101,27.2%,93,25.1%,0,,0,,371,0
2021/11/20,Rusk County,18-24,265,29.0%,235,25.7%,265,29.0%,235,25.7%,915,915
2021/11/20,Rusk County,25-34,352,28.2%,321,25.7%,352,28.2%,321,25.7%,"1,247","1,247"
2021/11/20,Rusk County,35-44,511,35.2%,489,33.7%,511,35.2%,489,33.7%,"1,451","1,451"
2021/11/20,Rusk County,45-54,689,39.8%,650,37.6%,689,39.8%,650,37.6%,"1,731","1,731"
2021/11/20,Rusk County,55-64,"1,288",53.0%,"1,247",51.3%,"1,288",53.0%,"1,247",51.3%,"2,432","2,432"
2021/11/20,Rusk County,65+,"2,290",65.1%,"2,212",62.9%,"2,290",65.1%,"2,212",62.9%,"3,519","3,519"
2021/11/20,Sauk County,0-11,3,0.0%,1,0.0%,0,,0,,"9,524",0
2021/11/20,Sauk County,12-15,"1,613",47.9%,"1,502",44.6%,0,,0,,"3,370",0
2021/11/20,Sauk County,16-17,864,50.1%,823,47.8%,0,,0,,"1,723",0
2021/11/20,Sauk County,18-24,"3,248",68.5%,"2,922",61.6%,"3,248",68.5%,"2,922",61.6%,"4,741","4,741"
2021/11/20,Sauk County,25-34,"4,408",58.3%,"4,093",54.2%,"4,408",58.3%,"4,093",54.2%,"7,556","7,556"
2021/11/20,Sauk County,35-44,"4,996",62.9%,"4,730",59.5%,"4,996",62.9%,"4,730",59.5%,"7,945","7,945"
2021/11/20,Sauk County,45-54,"5,352",66.8%,"5,130",64.0%,"5,352",66.8%,"5,130",64.0%,"8,013","8,013"
2021/11/20,Sauk County,55-64,"7,095",76.4%,"6,835",73.6%,"7,095",76.4%,"6,835",73.6%,"9,289","9,289"
2021/11/20,Sauk County,65+,"11,027",89.8%,"10,636",86.6%,"11,027",89.8%,"10,636",86.6%,"12,281","12,281"
2021/11/20,Sawyer County,0-11,1,0.0%,1,0.0%,0,,0,,"2,072",0
2021/11/20,Sawyer County,12-15,337,44.2%,314,41.2%,0,,0,,763,0
2021/11/20,Sawyer County,16-17,173,50.9%,158,46.5%,0,,0,,340,0
2021/11/20,Sawyer County,18-24,403,40.1%,363,36.1%,403,40.1%,363,36.1%,"1,005","1,005"
2021/11/20,Sawyer County,25-34,566,38.8%,512,35.1%,566,38.8%,512,35.1%,"1,458","1,458"
2021/11/20,Sawyer County,35-44,816,52.6%,757,48.8%,816,52.6%,757,48.8%,"1,552","1,552"
2021/11/20,Sawyer County,45-54,"1,023",53.8%,970,51.0%,"1,023",53.8%,970,51.0%,"1,902","1,902"
2021/11/20,Sawyer County,55-64,"1,981",65.0%,"1,895",62.2%,"1,981",65.0%,"1,895",62.2%,"3,049","3,049"
2021/11/20,Sawyer County,65+,"3,745",84.8%,"3,610",81.7%,"3,745",84.8%,"3,610",81.7%,"4,417","4,417"
2021/11/20,Shawano County,0-11,0,0.0%,0,0.0%,0,,0,,"5,531",0
2021/11/20,Shawano County,12-15,635,29.9%,589,27.7%,0,,0,,"2,125",0
2021/11/20,Shawano County,16-17,353,32.8%,328,30.5%,0,,0,,"1,076",0
2021/11/20,Shawano County,18-24,"1,187",43.5%,"1,097",40.2%,"1,187",43.5%,"1,097",40.2%,"2,731","2,731"
2021/11/20,Shawano County,25-34,"1,514",35.4%,"1,423",33.3%,"1,514",35.4%,"1,423",33.3%,"4,271","4,271"
2021/11/20,Shawano County,35-44,"1,911",42.9%,"1,780",39.9%,"1,911",42.9%,"1,780",39.9%,"4,457","4,457"
2021/11/20,Shawano County,45-54,"2,407",44.5%,"2,312",42.7%,"2,407",44.5%,"2,312",42.7%,"5,412","5,412"
2021/11/20,Shawano County,55-64,"3,809",58.9%,"3,698",57.1%,"3,809",58.9%,"3,698",57.1%,"6,471","6,471"
2021/11/20,Shawano County,65+,"6,311",71.5%,"6,140",69.6%,"6,311",71.5%,"6,140",69.6%,"8,825","8,825"
2021/11/20,Sheboygan County,0-11,2,0.0%,1,0.0%,0,,0,,"16,041",0
2021/11/20,Sheboygan County,12-15,"2,761",44.9%,"2,578",41.9%,0,,0,,"6,151",0
2021/11/20,Sheboygan County,16-17,"1,499",49.4%,"1,422",46.8%,0,,0,,"3,037",0
2021/11/20,Sheboygan County,18-24,"5,088",53.6%,"4,705",49.6%,"5,088",53.6%,"4,705",49.6%,"9,486","9,486"
2021/11/20,Sheboygan County,25-34,"7,792",57.7%,"7,247",53.7%,"7,792",57.7%,"7,247",53.7%,"13,506","13,506"
2021/11/20,Sheboygan County,35-44,"8,318",59.7%,"7,869",56.5%,"8,318",59.7%,"7,869",56.5%,"13,930","13,930"
2021/11/20,Sheboygan County,45-54,"9,118",61.8%,"8,706",59.1%,"9,118",61.8%,"8,706",59.1%,"14,743","14,743"
2021/11/20,Sheboygan County,55-64,"12,719",74.6%,"12,247",71.8%,"12,719",74.6%,"12,247",71.8%,"17,052","17,052"
2021/11/20,Sheboygan County,65+,"18,834",88.0%,"18,090",84.6%,"18,834",88.0%,"18,090",84.6%,"21,394","21,394"
2021/11/20,St Croix County,0-11,2,0.0%,2,0.0%,0,,0,,"14,070",0
2021/11/20,St Croix County,12-15,"2,595",47.1%,"2,440",44.3%,0,,0,,"5,507",0
2021/11/20,St Croix County,16-17,"1,430",54.8%,"1,375",52.7%,0,,0,,"2,611",0
2021/11/20,St Croix County,18-24,"4,109",60.3%,"3,835",56.3%,"4,109",60.3%,"3,835",56.3%,"6,809","6,809"
2021/11/20,St Croix County,25-34,"5,821",55.9%,"5,431",52.1%,"5,821",55.9%,"5,431",52.1%,"10,415","10,415"
2021/11/20,St Croix County,35-44,"7,752",61.6%,"7,339",58.3%,"7,752",61.6%,"7,339",58.3%,"12,580","12,580"
2021/11/20,St Croix County,45-54,"8,561",68.5%,"8,233",65.9%,"8,561",68.5%,"8,233",65.9%,"12,498","12,498"
2021/11/20,St Croix County,55-64,"9,774",75.9%,"9,466",73.5%,"9,774",75.9%,"9,466",73.5%,"12,878","12,878"
2021/11/20,St Croix County,65+,"12,513",93.9%,"11,982",90.0%,"12,513",93.9%,"11,982",90.0%,"13,319","13,319"
2021/11/20,Taylor County,0-11,0,0.0%,0,0.0%,0,,0,,"3,023",0
2021/11/20,Taylor County,12-15,190,16.4%,169,14.6%,0,,0,,"1,158",0
2021/11/20,Taylor County,16-17,104,18.3%,91,16.0%,0,,0,,569,0
2021/11/20,Taylor County,18-24,352,25.1%,328,23.4%,352,25.1%,328,23.4%,"1,400","1,400"
2021/11/20,Taylor County,25-34,525,26.7%,484,24.6%,525,26.7%,484,24.6%,"1,965","1,965"
2021/11/20,Taylor County,35-44,717,30.3%,689,29.2%,717,30.3%,689,29.2%,"2,363","2,363"
2021/11/20,Taylor County,45-54,805,32.3%,777,31.1%,805,32.3%,777,31.1%,"2,495","2,495"
2021/11/20,Taylor County,55-64,"1,521",44.9%,"1,483",43.7%,"1,521",44.9%,"1,483",43.7%,"3,390","3,390"
2021/11/20,Taylor County,65+,"2,511",63.1%,"2,464",61.9%,"2,511",63.1%,"2,464",61.9%,"3,980","3,980"
2021/11/20,Trempealeau County,0-11,3,0.1%,0,0.0%,0,,0,,"4,942",0
2021/11/20,Trempealeau County,12-15,838,49.6%,770,45.6%,0,,0,,"1,690",0
2021/11/20,Trempealeau County,16-17,492,61.1%,466,57.9%,0,,0,,805,0
2021/11/20,Trempealeau County,18-24,"1,337",65.6%,"1,221",59.9%,"1,337",65.6%,"1,221",59.9%,"2,039","2,039"
2021/11/20,Trempealeau County,25-34,"1,952",60.1%,"1,823",56.1%,"1,952",60.1%,"1,823",56.1%,"3,249","3,249"
2021/11/20,Trempealeau County,35-44,"2,460",71.8%,"2,341",68.3%,"2,460",71.8%,"2,341",68.3%,"3,426","3,426"
2021/11/20,Trempealeau County,45-54,"2,711",71.2%,"2,620",68.8%,"2,711",71.2%,"2,620",68.8%,"3,807","3,807"
2021/11/20,Trempealeau County,55-64,"3,596",85.2%,"3,497",82.8%,"3,596",85.2%,"3,497",82.8%,"4,222","4,222"
2021/11/20,Trempealeau County,65+,"5,490",100.4%,"5,366",98.1%,"5,490",100.4%,"5,366",98.1%,"5,469","5,469"
2021/11/20,Unknown County,0-11,2,,1,,0,,0,,0,0
2021/11/20,Unknown County,12-15,414,,144,,0,,0,,0,0
2021/11/20,Unknown County,16-17,361,,212,,0,,0,,0,0
2021/11/20,Unknown County,18-24,"3,739",,"3,016",,"3,739",,"3,016",,0,0
2021/11/20,Unknown County,25-34,"4,671",,"3,718",,"4,671",,"3,718",,0,0
2021/11/20,Unknown County,35-44,"4,326",,"3,579",,"4,326",,"3,579",,0,0
2021/11/20,Unknown County,45-54,"4,524",,"3,900",,"4,524",,"3,900",,0,0
2021/11/20,Unknown County,55-64,"4,982",,"4,331",,"4,982",,"4,331",,0,0
2021/11/20,Unknown County,65+,"4,018",,"3,223",,"4,018",,"3,223",,0,0
2021/11/20,Vernon County,0-11,0,0.0%,0,0.0%,0,,0,,"5,226",0
2021/11/20,Vernon County,12-15,694,37.5%,668,36.1%,0,,0,,"1,852",0
2021/11/20,Vernon County,16-17,408,43.7%,393,42.1%,0,,0,,933,0
2021/11/20,Vernon County,18-24,978,46.2%,915,43.2%,978,46.2%,915,43.2%,"2,116","2,116"
2021/11/20,Vernon County,25-34,"1,383",47.9%,"1,317",45.6%,"1,383",47.9%,"1,317",45.6%,"2,887","2,887"
2021/11/20,Vernon County,35-44,"1,912",57.0%,"1,822",54.3%,"1,912",57.0%,"1,822",54.3%,"3,354","3,354"
2021/11/20,Vernon County,45-54,"2,137",60.6%,"2,060",58.4%,"2,137",60.6%,"2,060",58.4%,"3,528","3,528"
2021/11/20,Vernon County,55-64,"3,191",66.8%,"3,074",64.4%,"3,191",66.8%,"3,074",64.4%,"4,774","4,774"
2021/11/20,Vernon County,65+,"5,220",84.9%,"5,086",82.7%,"5,220",84.9%,"5,086",82.7%,"6,152","6,152"
2021/11/20,Vilas County,0-11,1,0.0%,1,0.0%,0,,0,,"2,394",0
2021/11/20,Vilas County,12-15,329,37.2%,299,33.8%,0,,0,,884,0
2021/11/20,Vilas County,16-17,173,37.0%,161,34.4%,0,,0,,468,0
2021/11/20,Vilas County,18-24,599,50.2%,544,45.6%,599,50.2%,544,45.6%,"1,194","1,194"
2021/11/20,Vilas County,25-34,852,48.0%,774,43.6%,852,48.0%,774,43.6%,"1,775","1,775"
2021/11/20,Vilas County,35-44,"1,010",56.7%,942,52.9%,"1,010",56.7%,942,52.9%,"1,781","1,781"
2021/11/20,Vilas County,45-54,"1,511",59.2%,"1,423",55.8%,"1,511",59.2%,"1,423",55.8%,"2,551","2,551"
2021/11/20,Vilas County,55-64,"3,150",73.9%,"3,014",70.7%,"3,150",73.9%,"3,014",70.7%,"4,262","4,262"
2021/11/20,Vilas County,65+,"6,146",89.3%,"5,816",84.5%,"6,146",89.3%,"5,816",84.5%,"6,886","6,886"
2021/11/20,Walworth County,0-11,2,0.0%,2,0.0%,0,,0,,"12,996",0
2021/11/20,Walworth County,12-15,"1,906",35.8%,"1,751",32.9%,0,,0,,"5,324",0
2021/11/20,Walworth County,16-17,"1,165",42.9%,"1,097",40.4%,0,,0,,"2,716",0
2021/11/20,Walworth County,18-24,"4,494",33.5%,"4,129",30.8%,"4,494",33.5%,"4,129",30.8%,"13,426","13,426"
2021/11/20,Walworth County,25-34,"5,168",48.0%,"4,770",44.3%,"5,168",48.0%,"4,770",44.3%,"10,777","10,777"
2021/11/20,Walworth County,35-44,"6,112",53.6%,"5,669",49.7%,"6,112",53.6%,"5,669",49.7%,"11,402","11,402"
2021/11/20,Walworth County,45-54,"7,080",55.2%,"6,679",52.0%,"7,080",55.2%,"6,679",52.0%,"12,836","12,836"
2021/11/20,Walworth County,55-64,"10,276",67.0%,"9,732",63.5%,"10,276",67.0%,"9,732",63.5%,"15,326","15,326"
2021/11/20,Walworth County,65+,"15,936",83.6%,"14,880",78.0%,"15,936",83.6%,"14,880",78.0%,"19,065","19,065"
2021/11/20,Washburn County,0-11,0,0.0%,0,0.0%,0,,0,,"1,873",0
2021/11/20,Washburn County,12-15,285,38.4%,259,34.9%,0,,0,,742,0
2021/11/20,Washburn County,16-17,141,40.6%,132,38.0%,0,,0,,347,0
2021/11/20,Washburn County,18-24,402,45.2%,368,41.4%,402,45.2%,368,41.4%,889,889
2021/11/20,Washburn County,25-34,562,41.8%,523,38.9%,562,41.8%,523,38.9%,"1,346","1,346"
2021/11/20,Washburn County,35-44,823,55.2%,772,51.8%,823,55.2%,772,51.8%,"1,490","1,490"
2021/11/20,Washburn County,45-54,"1,097",58.3%,"1,052",55.9%,"1,097",58.3%,"1,052",55.9%,"1,881","1,881"
2021/11/20,Washburn County,55-64,"2,198",77.2%,"2,114",74.2%,"2,198",77.2%,"2,114",74.2%,"2,848","2,848"
2021/11/20,Washburn County,65+,"4,217",98.0%,"4,053",94.2%,"4,217",98.0%,"4,053",94.2%,"4,304","4,304"
2021/11/20,Washington County,0-11,1,0.0%,0,0.0%,0,,0,,"18,454",0
2021/11/20,Washington County,12-15,"2,561",35.5%,"2,408",33.4%,0,,0,,"7,211",0
2021/11/20,Washington County,16-17,"1,532",40.6%,"1,435",38.1%,0,,0,,"3,770",0
2021/11/20,Washington County,18-24,"5,035",51.2%,"4,679",47.6%,"5,035",51.2%,"4,679",47.6%,"9,839","9,839"
2021/11/20,Washington County,25-34,"6,821",47.6%,"6,372",44.5%,"6,821",47.6%,"6,372",44.5%,"14,335","14,335"
2021/11/20,Washington County,35-44,"9,110",54.4%,"8,696",51.9%,"9,110",54.4%,"8,696",51.9%,"16,753","16,753"
2021/11/20,Washington County,45-54,"10,653",55.7%,"10,179",53.2%,"10,653",55.7%,"10,179",53.2%,"19,122","19,122"
2021/11/20,Washington County,55-64,"14,810",69.1%,"14,247",66.5%,"14,810",69.1%,"14,247",66.5%,"21,422","21,422"
2021/11/20,Washington County,65+,"21,494",85.5%,"20,649",82.2%,"21,494",85.5%,"20,649",82.2%,"25,128","25,128"
2021/11/20,Waukesha County,0-11,10,0.0%,6,0.0%,0,,0,,"53,750",0
2021/11/20,Waukesha County,12-15,"11,312",53.3%,"10,618",50.0%,0,,0,,"21,242",0
2021/11/20,Waukesha County,16-17,"6,474",58.5%,"6,157",55.7%,0,,0,,"11,060",0
2021/11/20,Waukesha County,18-24,"19,708",63.5%,"18,304",59.0%,"19,708",63.5%,"18,304",59.0%,"31,022","31,022"
2021/11/20,Waukesha County,25-34,"27,587",64.6%,"25,823",60.5%,"27,587",64.6%,"25,823",60.5%,"42,685","42,685"
2021/11/20,Waukesha County,35-44,"35,663",70.3%,"33,750",66.5%,"35,663",70.3%,"33,750",66.5%,"50,733","50,733"
2021/11/20,Waukesha County,45-54,"36,928",69.3%,"35,291",66.2%,"36,928",69.3%,"35,291",66.2%,"53,303","53,303"
2021/11/20,Waukesha County,55-64,"48,658",77.4%,"46,748",74.4%,"48,658",77.4%,"46,748",74.4%,"62,852","62,852"
2021/11/20,Waukesha County,65+,"69,381",89.5%,"66,498",85.7%,"69,381",89.5%,"66,498",85.7%,"77,551","77,551"
2021/11/20,Waupaca County,0-11,3,0.0%,1,0.0%,0,,0,,"6,540",0
2021/11/20,Waupaca County,12-15,762,31.5%,705,29.1%,0,,0,,"2,420",0
2021/11/20,Waupaca County,16-17,503,37.5%,469,35.0%,0,,0,,"1,340",0
2021/11/20,Waupaca County,18-24,"1,561",43.9%,"1,414",39.8%,"1,561",43.9%,"1,414",39.8%,"3,552","3,552"
2021/11/20,Waupaca County,25-34,"2,200",40.5%,"2,037",37.5%,"2,200",40.5%,"2,037",37.5%,"5,437","5,437"
2021/11/20,Waupaca County,35-44,"2,782",48.0%,"2,624",45.3%,"2,782",48.0%,"2,624",45.3%,"5,792","5,792"
2021/11/20,Waupaca County,45-54,"3,457",52.1%,"3,279",49.5%,"3,457",52.1%,"3,279",49.5%,"6,629","6,629"
2021/11/20,Waupaca County,55-64,"5,678",67.4%,"5,465",64.9%,"5,678",67.4%,"5,465",64.9%,"8,419","8,419"
2021/11/20,Waupaca County,65+,"9,341",86.0%,"9,083",83.6%,"9,341",86.0%,"9,083",83.6%,"10,861","10,861"
2021/11/20,Waushara County,0-11,0,0.0%,0,0.0%,0,,0,,"2,829",0
2021/11/20,Waushara County,12-15,295,28.0%,267,25.4%,0,,0,,"1,052",0
2021/11/20,Waushara County,16-17,170,29.4%,156,26.9%,0,,0,,579,0
2021/11/20,Waushara County,18-24,503,33.8%,466,31.3%,503,33.8%,466,31.3%,"1,490","1,490"
2021/11/20,Waushara County,25-34,729,30.7%,670,28.2%,729,30.7%,670,28.2%,"2,372","2,372"
2021/11/20,Waushara County,35-44,940,36.2%,877,33.7%,940,36.2%,877,33.7%,"2,600","2,600"
2021/11/20,Waushara County,45-54,"1,301",41.8%,"1,250",40.2%,"1,301",41.8%,"1,250",40.2%,"3,113","3,113"
2021/11/20,Waushara County,55-64,"2,320",54.1%,"2,253",52.5%,"2,320",54.1%,"2,253",52.5%,"4,288","4,288"
2021/11/20,Waushara County,65+,"4,172",68.2%,"4,037",66.0%,"4,172",68.2%,"4,037",66.0%,"6,120","6,120"
2021/11/20,Winnebago County,0-11,3,0.0%,3,0.0%,0,,0,,"22,948",0
2021/11/20,Winnebago County,12-15,"4,130",51.8%,"3,849",48.3%,0,,0,,"7,969",0
2021/11/20,Winnebago County,16-17,"2,185",53.4%,"2,064",50.5%,0,,0,,"4,088",0
2021/11/20,Winnebago County,18-24,"8,081",40.4%,"7,444",37.2%,"8,081",40.4%,"7,444",37.2%,"20,012","20,012"
2021/11/20,Winnebago County,25-34,"12,605",54.7%,"11,771",51.1%,"12,605",54.7%,"11,771",51.1%,"23,051","23,051"
2021/11/20,Winnebago County,35-44,"13,555",65.2%,"12,805",61.6%,"13,555",65.2%,"12,805",61.6%,"20,784","20,784"
2021/11/20,Winnebago County,45-54,"14,024",67.0%,"13,440",64.2%,"14,024",67.0%,"13,440",64.2%,"20,943","20,943"
2021/11/20,Winnebago County,55-64,"17,911",77.2%,"17,324",74.7%,"17,911",77.2%,"17,324",74.7%,"23,204","23,204"
2021/11/20,Winnebago County,65+,"25,376",87.8%,"24,396",84.4%,"25,376",87.8%,"24,396",84.4%,"28,908","28,908"
2021/11/20,Wood County,0-11,2,0.0%,2,0.0%,0,,0,,"10,286",0
2021/11/20,Wood County,12-15,"1,538",41.9%,"1,422",38.8%,0,,0,,"3,667",0
2021/11/20,Wood County,16-17,846,47.0%,794,44.1%,0,,0,,"1,799",0
2021/11/20,Wood County,18-24,"2,750",53.9%,"2,553",50.0%,"2,750",53.9%,"2,553",50.0%,"5,103","5,103"
2021/11/20,Wood County,25-34,"4,136",50.5%,"3,841",46.9%,"4,136",50.5%,"3,841",46.9%,"8,186","8,186"
2021/11/20,Wood County,35-44,"4,716",58.4%,"4,463",55.3%,"4,716",58.4%,"4,463",55.3%,"8,075","8,075"
2021/11/20,Wood County,45-54,"5,243",58.8%,"5,020",56.3%,"5,243",58.8%,"5,020",56.3%,"8,920","8,920"
2021/11/20,Wood County,55-64,"8,039",69.6%,"7,750",67.1%,"8,039",69.6%,"7,750",67.1%,"11,555","11,555"
2021/11/20,Wood County,65+,"12,822",83.2%,"12,394",80.4%,"12,822",83.2%,"12,394",80.4%,"15,408","15,408"
total,,,"3,413,435",58.6%,"3,233,775",55.5%,"3,187,519",70.0%,"3,022,772",66.3%,"5,822,434","4,555,837"
